STATE,NIIN_ITEM_NAME,NATIONAL_STOCK_NUMBER,QUANTITY, TOTAL_COST , TOTAL_COST ,SHIP_DATE
VA,"TIE DOWN,CARGO,VEHI",3990012526655,4, 2.45 , $9.80 ,01/08/2012
MI,"TIE DOWN,CARGO,AIRC",1670007251437,50, 20.40 ," $1,020.00 ",29/02/2012
DE,"TIE DOWN,CARGO,AIRC",1670007251437,25, 20.40 , $510.00 ,07/03/2012
CA,"TIE DOWN,CARGO,AIRC",1670007251437,20, 20.40 , $408.00 ,24/02/2012
ME,"TIE DOWN,CARGO,AIRC",1670007251437,20, 20.40 , $408.00 ,12/03/2012
AL,"TIE DOWN,CARGO,AIRC",1670013336082,50, 7.11 , $355.50 ,31/05/2012
NV,"TIE DOWN,CARGO,AIRC",1670005168405,10, 32.35 , $323.50 ,31/05/2012
CA,"TIE DOWN,CARGO,AIRC",1670005168405,8, 32.35 , $258.80 ,05/06/2012
CA,"TIE DOWN,CARGO,AIRC",1670013336082,30, 7.11 , $213.30 ,02/05/2012
CA,"TIE DOWN,CARGO,AIRC",1670013336082,30, 7.11 , $213.30 ,09/05/2012
CA,"TIE DOWN,CARGO,AIRC",1670005168405,6, 32.35 , $194.10 ,25/07/2012
LA,"TIE DOWN,CARGO,AIRC",1670013336082,20, 7.11 , $142.20 ,30/05/2012
MI,"TIE DOWN,CARGO,AIRC",1670013336082,14, 7.11 , $99.54 ,02/05/2012
AZ,"TIE DOWN,CARGO,AIRC",1670013336082,10, 7.11 , $71.10 ,02/05/2012
GA,"TIE DOWN,CARGO,AIRC",1670005168405,1, 32.35 , $32.35 ,25/07/2012
CA,"TIE DOWN,CARGO,AIRC",1670013336082,1, 7.11 , $7.11 ,09/05/2012
AL,TIE DOWN ASSEMBLY R,4010001336736,25, 149.00 ," $3,725.00 ",02/03/2012
KY,TIE DOWN ASSEMBLY R,4010001336736,12, 149.00 ," $1,788.00 ",22/02/2012
GA,TIE DOWN ASSEMBLY R,4010001336736,2, 149.00 , $298.00 ,22/02/2012
GA,TIE DOWN ASSEMBLY  ,2540014594091,3, 117.52 , $352.56 ,11/05/2012
CA,TIBIA DORSIFLEXION,7830DSTIBIAFL,1, 650.00 , $650.00 ,12/01/2012
TN,THUMBSCREW         ,5305010685294,16,65.77," $1,052.32 ",24/12/2011
IL,THUMBSCREW         ,5305004512924,5, 13.98 , $69.90 ,26/01/2012
CA,THUMBSCREW         ,5305010685051,2, 10.35 , $20.70 ,16/05/2012
TX,THUMB STRAP HOLSTER,1095014321517,2, 15.00 , $30.00 ,01/02/2012
AL,THUMB DRIVE,702500THUMBDR,24, 100.00 ," $2,400.00 ",27/04/2012
CA,"THREADING SET,SCREW",5180004224975,1, 688.29 , $688.29 ,06/03/2012
SC,"THREADING SET,SCREW",5180008563471,2, 109.48 , $218.96 ,17/03/2012
GA,"THREADING SET,SCREW",5180008563471,1, 109.48 , $109.48 ,25/02/2012
AL,"THREADING SET,SCREW",5180003577510,1, 55.33 , $55.33 ,31/07/2012
GU,"THREADING SET,PIPE ",5180003577514,4,2247.71," $8,990.84 ",04/10/2011
OH,"THREADING SET,PIPE ",5180003577514,1, 2114.80 ," $2,114.80 ",04/01/2012
GA,THREADING MACHINE P,3419010142055,1, 3101.72 ," $3,101.72 ",16/08/2012
MT,THREADER  PIPE  REDUCER  120,345000THREADE,1, 750.00 , $750.00 ,25/04/2012
MT,THREADER  PIPE  PORTABLE  1 8,345000THREADE,1, 865.00 , $865.00 ,25/04/2012
CA,THREAD REPAIR KIT,5180DSTOOLKIT,1,280.00, $280.00 ,06/10/2011
CT,THINKVISION USB SOUNDBARS,7045DSADPSUPL,15, 25.00 , $375.00 ,13/08/2012
AL,THINK PAD  LENOVO T 400,702101C113593,2, 1500.00 ," $3,000.00 ",19/03/2012
CA,THIN CLIENT,702500CLIENT,30, 100.00 ," $3,000.00 ",14/03/2012
OH,THIN CLIENT,702500CLIENT,20, 100.00 ," $2,000.00 ",09/03/2012
CA,THIN CLIENT,702500CLIENT,6, 100.00 , $600.00 ,19/04/2012
MI,"THIMBLE,ROPE       ",4030002660067,50, 1.38 , $69.00 ,25/04/2012
IL,THERMOMETERTYMPANIC,6515014696151,1, 707.28 , $707.28 ,16/02/2012
IL,THERMOMETERTYMPANIC,6515014696151,1, 707.28 , $707.28 ,16/02/2012
KY,THERMOMETERTYMPANIC,6515014696151,1, 707.28 , $707.28 ,22/03/2012
KY,THERMOMETERTYMPANIC,6515014696151,1, 707.28 , $707.28 ,22/03/2012
TX,THERMOMETERTYMPANIC,6515014696151,1, 707.28 , $707.28 ,14/03/2012
TX,"THERMOMETER,TYMPANI",6515014405976,1, 521.64 , $521.64 ,27/04/2012
TX,"THERMOMETER,TYMPANI",6515014405976,1, 521.64 , $521.64 ,27/04/2012
NM,"THERMOMETER,SELF-IN",6685011104429,5, 40.43 , $202.15 ,25/04/2012
NY,"THERMOMETER,INFRARE",6685015317291,1, 152.37 , $152.37 ,24/04/2012
GA,"THERMOMETER,CLINICA",6515015192419,3, 186.13 , $558.39 ,02/07/2012
GA,"THERMOMETER,CLINICA",6515015192419,3, 186.13 , $558.39 ,02/07/2012
AL,"THERMOMETER,CLINICA",6515013136242,1, 293.42 , $293.42 ,01/03/2012
GA,"THERMOMETER,CLINICA",6515013136242,1, 293.42 , $293.42 ,29/06/2012
CO,"THERMOMETER,CLINICA",6515015192419,1, 186.13 , $186.13 ,11/07/2012
CO,"THERMOMETER,CLINICA",6515015192419,1, 186.13 , $186.13 ,11/07/2012
CO,"THERMOMETER,CLINICA",6515015192419,1, 186.13 , $186.13 ,11/07/2012
CO,"THERMOMETER,CLINICA",6515015192419,1, 186.13 , $186.13 ,11/07/2012
CO,"THERMOMETER,CLINICA",6515015192419,1, 186.13 , $186.13 ,11/07/2012
DE,"THERMOMETER KIT,CLI",6515015239935,2,526.93," $1,053.86 ",08/12/2011
DE,"THERMOMETER KIT,CLI",6515015239935,2,526.93," $1,053.86 ",24/12/2011
TX,THERMOMETER ELECTRONIC INFRED,651501C721160,1, 401.90 , $401.90 ,16/02/2012
IN,THERMOMETER ELECTRONIC,6515DSTHERM00,1, 435.00 , $435.00 ,10/04/2012
GA,THERMOMETER CLINICA,6515014509242,1, 399.00 , $399.00 ,29/03/2012
GA,THERMOMETER CLINICA,6515014509242,1, 399.00 , $399.00 ,29/03/2012
AR,THERMOMETER       I C 17077,662500GAUGE,2, 80.75 , $161.50 ,28/06/2012
IA,"THERMAL PRINTER,12V",5865012128470,1,685.00, $685.00 ,13/12/2011
CO,THERMAL LAMINATOR,7490DSLAMINAT,1, 25.00 , $25.00 ,04/01/2012
LA,THERMAL IMAGER,4240DSSAFERES,1, 3000.00 ," $3,000.00 ",15/02/2012
SC,"THERMAL GUARD,ABSOR",6530015626008,10, 1637.90 ," $16,379.00 ",25/04/2012
SC,"THEODOLITE,SURVEYIN",6675011642598,1,6600.00," $6,600.00 ",26/10/2011
AZ,"THEODOLITE,SURVEYIN",6675001515270,1, 2543.00 ," $2,543.00 ",01/02/2012
AZ,"THEODOLITE,SURVEYIN",6675001515270,1, 2543.00 ," $2,543.00 ",01/02/2012
CA,"THEODOLITE,SURVEYIN",6675001515270,1, 2543.00 ," $2,543.00 ",12/01/2012
CA,"THEODOLITE,SURVEYIN",6675001515270,1, 2543.00 ," $2,543.00 ",03/02/2012
CA,"THEODOLITE,SURVEYIN",6675001515270,1, 2543.00 ," $2,543.00 ",03/02/2012
IN,THEODOLITE SURVEYIN,6675000056634,1, 15570.00 ," $15,570.00 ",13/06/2012
TX,THE STANDARD  ELECTRICAL GRIN,341500GRINDER,1, 200.00 , $200.00 ,09/08/2012
AL,"TESTER,TORQUE WRENC",6635011241582,1, 3312.96 ," $3,312.96 ",16/04/2012
TX,"TESTER,FUEL INJECTO",4910011947667,1, 149802.00 ," $149,802.00 ",22/02/2012
AL,"TESTER,DEFIBRILLATO",6625004339063,1, 2538.75 ," $2,538.75 ",07/06/2012
MI,"TESTER,DEFIBRILLATO",6625004339063,1, 2538.75 ," $2,538.75 ",15/06/2012
TX,"TESTER,ANTIFREEZE S",6630002472968,1,33.84, $33.84 ,01/12/2011
TN,TESTER TORQUE WRENC,6635005805888,1, 400.00 , $400.00 ,21/06/2012
GU,TESTER LOW VOLTAGE,4910003568269,10,60.00, $600.00 ,04/10/2011
TX,TESTER CLAMP,6625DSTESTEQU,1, 100.00 , $100.00 ,12/04/2012
MS,TESTER AND CHARGER,662500TESTER,1, 1935.00 ," $1,935.00 ",26/07/2012
KY,TESTER  LEAKE,518000TESTER,1,2000.00," $2,000.00 ",29/12/2011
OH,TESTER  ELECTRICAL SAFETY,662501C366551,1, 1197.00 ," $1,197.00 ",12/01/2012
MI,"TEST TOOL,SLIPPAGE ",5120014458503,1, 639.73 , $639.73 ,09/05/2012
AL,"TEST SET,AIR COOLER",6680014852269,1, 550.49 , $550.49 ,24/02/2012
AL,TEST SET INSULATION,6625015442958,1,1472.50," $1,472.50 ",12/10/2011
OH,TEST SET ANTENNA,6625014718207,1,7525.00," $7,525.00 ",13/10/2011
IN,"TEST KIT,RADIATOR-R",4910007288227,1, 77.87 , $77.87 ,24/02/2012
KY,"TERMINAL,THREADED  ",5940012195531,4, 0.32 , $1.28 ,24/02/2012
AL,"TERMINAL KIT,ELECTR",5940011552449,1, 148.92 , $148.92 ,27/06/2012
KY,"TERMINAL KIT,ELECTR",5940011552449,1, 148.92 , $148.92 ,02/07/2012
NM,TERMINAL DATA PROCE,7025014972071,10, 335.00 ," $3,350.00 ",29/03/2012
TN,TERMINAL BOX AND HA,2590010460903,1, 212.84 , $212.84 ,13/04/2012
ME,TERMINAL,702500TERMINA,1, 4010.00 ," $4,010.00 ",09/02/2012
TN,TENTS AND TARPAULINS,8340DSTENTARP,1, 2000.00 ," $2,000.00 ",04/05/2012
AL,"TENT,MODULAR,GENERA",8340015120240,6, 9690.68 ," $58,144.08 ",20/04/2012
AL,"TENT,MODULAR,GENERA",8340015120240,6, 9690.68 ," $58,144.08 ",07/06/2012
AL,"TENT,MODULAR,GENERA",8340015120240,5, 9690.68 ," $48,453.40 ",06/06/2012
GA,"TENT,MODULAR,GENERA",8340015120243,5, 9238.32 ," $46,191.60 ",04/06/2012
IN,"TENT,MODULAR,GENERA",8340015120243,4, 9238.32 ," $36,953.28 ",28/06/2012
AL,"TENT,MODULAR,GENERA",8340015120240,3, 9690.68 ," $29,072.04 ",11/05/2012
AL,"TENT,MODULAR,GENERA",8340015129461,2, 13204.62 ," $26,409.24 ",30/01/2012
AL,"TENT,MODULAR,GENERA",8340015120240,2, 9690.68 ," $19,381.36 ",22/05/2012
AL,"TENT,MODULAR,GENERA",8340015120240,2, 9690.68 ," $19,381.36 ",13/07/2012
AL,"TENT,MODULAR,GENERA",8340015120240,2, 9690.68 ," $19,381.36 ",19/07/2012
GA,"TENT,MODULAR,GENERA",8340015120240,2, 9690.68 ," $19,381.36 ",24/04/2012
GA,"TENT,MODULAR,GENERA",8340015120240,2, 9690.68 ," $19,381.36 ",22/05/2012
MS,"TENT,MODULAR,GENERA",8340015120240,2, 9690.68 ," $19,381.36 ",26/07/2012
MI,"TENT,MODULAR,GENERA",8340015126865,1, 17821.62 ," $17,821.62 ",24/05/2012
AL,"TENT,MODULAR,GENERA",8340015120240,1, 9690.68 ," $9,690.68 ",18/05/2012
AL,"TENT,MODULAR,GENERA",8340015120240,1, 9690.68 ," $9,690.68 ",18/05/2012
CA,"TENT,MODULAR,GENERA",8340015120240,1, 9690.68 ," $9,690.68 ",01/06/2012
FL,"TENT,MODULAR,GENERA",8340015120243,1, 9238.32 ," $9,238.32 ",04/06/2012
TN,"TENT,MODULAR,GENERA",8340015938758,1, 6501.00 ," $6,501.00 ",30/04/2012
GA,"TENT,LIGHTWEIGHT,MA",8340015126844,5, 5584.72 ," $27,923.60 ",08/02/2012
AL,"TENT,LIGHTWEIGHT,MA",8340015126844,3, 5584.72 ," $16,754.16 ",30/01/2012
SC,"TENT,COT           ",8340015171557,20,216.04," $4,320.80 ",09/12/2011
TX,"TENT,COT           ",8340015171557,5, 216.04 ," $1,080.20 ",15/06/2012
CO,"TENT,COMBAT,TWO MAN",8340014525919,33, 368.90 ," $12,173.70 ",30/04/2012
CA,"TENT,COMBAT,TWO MAN",8340014525919,30, 368.90 ," $11,067.00 ",30/05/2012
MO,"TENT,COMBAT,TWO MAN",8340014525919,30, 368.90 ," $11,067.00 ",14/03/2012
KY,"TENT,COMBAT,TWO MAN",8340014525919,22, 368.90 ," $8,115.80 ",05/01/2012
GA,"TENT,COMBAT,TWO MAN",8340014525919,20, 368.90 ," $7,378.00 ",01/06/2012
AZ,"TENT,COMBAT,TWO MAN",8340014525919,15, 368.90 ," $5,533.50 ",30/04/2012
SC,"TENT,COMBAT,TWO MAN",8340014525919,15,368.90," $5,533.50 ",16/11/2011
AZ,"TENT,COMBAT,TWO MAN",8340014525919,12, 368.90 ," $4,426.80 ",17/02/2012
DE,"TENT,COMBAT,TWO MAN",8340014525919,12, 368.90 ," $4,426.80 ",13/03/2012
AZ,"TENT,COMBAT,TWO MAN",8340014525919,10, 368.90 ," $3,689.00 ",30/04/2012
NV,"TENT,COMBAT,TWO MAN",8340014525919,10, 368.90 ," $3,689.00 ",08/03/2012
TX,"TENT,COMBAT,TWO MAN",8340014525919,10, 368.90 ," $3,689.00 ",14/06/2012
GA,"TENT,COMBAT,TWO MAN",8340014525919,9, 368.90 ," $3,320.10 ",20/06/2012
AZ,"TENT,COMBAT,TWO MAN",8340014525919,5, 368.90 ," $1,844.50 ",30/04/2012
MI,"TENT,COMBAT,TWO MAN",8340014525919,5, 368.90 ," $1,844.50 ",06/04/2012
TX,"TENT,COMBAT,TWO MAN",8340014525919,5, 368.90 ," $1,844.50 ",09/08/2012
AL,"TENT,COMBAT,TWO MAN",8340014525919,4, 368.90 ," $1,475.60 ",05/06/2012
AL,"TENT,COMBAT,TWO MAN",8340014525919,4, 368.90 ," $1,475.60 ",05/06/2012
IN,"TENT,COMBAT,TWO MAN",8340014525919,4, 368.90 ," $1,475.60 ",20/06/2012
PA,"TENT,COMBAT,TWO MAN",8340014525919,4, 368.90 ," $1,475.60 ",06/07/2012
CA,"TENT,COMBAT,TWO MAN",8340014525919,3, 368.90 ," $1,106.70 ",13/07/2012
DE,"TENT,COMBAT,TWO MAN",8340014525919,3,368.90," $1,106.70 ",14/11/2011
WI,"TENT,COMBAT,TWO MAN",8340014525919,3, 368.90 ," $1,106.70 ",31/05/2012
CA,"TENT,COMBAT,TWO MAN",8340014525919,2, 368.90 , $737.80 ,20/07/2012
MI,"TENT,COMBAT,TWO MAN",8340014525919,2, 368.90 , $737.80 ,27/06/2012
TN,"TENT,COMBAT,TWO MAN",8340014525919,2, 368.90 , $737.80 ,13/06/2012
PA,"TENT,COMBAT,TWO MAN",8340014525919,1, 368.90 , $368.90 ,17/02/2012
PA,"TENT,COMBAT,TWO MAN",8340014525919,1, 368.90 , $368.90 ,17/02/2012
TX,"TENT,COMBAT,TWO MAN",8340014525919,1,337.28, $337.28 ,12/10/2011
KY,TENT SECTION       ,8340014911465,3, 1872.00 ," $5,616.00 ",20/07/2012
KY,TENT SECTION       ,8340014911465,2, 1872.00 ," $3,744.00 ",20/07/2012
ME,TENT SECTION       ,8340011987618,4,526.10," $2,104.40 ",03/10/2011
WA,TENT SECTION       ,8340011863020,2,664.96," $1,329.92 ",15/12/2011
WA,TENT SECTION       ,8340011863014,2,452.92, $905.84 ,15/12/2011
WA,TENT SECTION       ,8340011863021,1,469.28, $469.28 ,15/12/2011
WA,TENT SECTION       ,8340011863021,1,469.28, $469.28 ,15/12/2011
GU,TENT POP UP,781000TENTPOP,1,70.00, $70.00 ,30/11/2011
TN,TENT POLES ASSORTED TYPES,8340DSTENTPOL,14, 230.00 ," $3,220.00 ",26/04/2012
TN,TENT POLES,8340DSTENTPOL,1, 4000.00 ," $4,000.00 ",04/05/2012
TX,TENT POLES,834000TENTPOL,1, 275.00 , $275.00 ,18/05/2012
GA,TENT LINER         ,8340014527049,8,443.78," $3,550.24 ",23/12/2011
GA,TENT LINER         ,8340014771390,5, 353.36 ," $1,766.80 ",04/09/2012
AR,TENT LINER         ,8340002622402,1,794.43, $794.43 ,03/11/2011
IN,TENT LINER         ,8340002622402,1, 794.43 , $794.43 ,10/07/2012
MS,TENT LINER         ,8340014911392,2, 263.40 , $526.80 ,26/07/2012
NM,TENT LINER,8340011863023,2, 167.90 , $335.80 ,07/03/2012
SC,TENT GROUND 8 X 8,8340DSTENT000,2, 190.00 , $380.00 ,26/04/2012
TN,TENT COMPONENT KIT ,8340014847266,6,574.62," $3,447.72 ",04/10/2011
GA,TENT AWNING,8340PORTATENT,5, 20.00 , $100.00 ,24/07/2012
GA,TENT ASSORTED,7830000TENT,4, 130.00 , $520.00 ,23/05/2012
GA,TENT  TRAIL,8340DSTENT000,1, 120.00 , $120.00 ,26/04/2012
OH,TENT  GAZEBO,781000TENTGAZ,1,80.00, $80.00 ,20/10/2011
CA,TENT               ,8340015164015,30, 40831.86 ," $1,224,955.80 ",09/07/2012
PR,TENT               ,8340015164015,4, 40831.86 ," $163,327.44 ",19/04/2012
AZ,TENT               ,8340015164015,2, 40831.86 ," $81,663.72 ",25/04/2012
FL,TENT               ,8340015164015,2, 40831.86 ," $81,663.72 ",19/04/2012
AL,TENT               ,8340015164014,4, 15710.27 ," $62,841.08 ",13/04/2012
AZ,TENT               ,8340004702342,15, 3831.18 ," $57,467.70 ",16/02/2012
TX,TENT               ,8340015164014,3, 15710.27 ," $47,130.81 ",13/04/2012
TX,TENT               ,8340015331687,2, 21093.59 ," $42,187.18 ",29/06/2012
WV,TENT               ,8340014753077,2, 20571.08 ," $41,142.16 ",07/08/2012
SC,TENT               ,8340015381823,2, 19617.98 ," $39,235.96 ",11/01/2012
AZ,TENT               ,8340015164014,2, 15710.27 ," $31,420.54 ",25/04/2012
FL,TENT               ,8340015164014,2, 15710.27 ," $31,420.54 ",19/04/2012
MI,TENT               ,8340015164014,2, 15710.27 ," $31,420.54 ",24/05/2012
CA,TENT               ,8340014752973,2,13613.70," $27,227.40 ",07/12/2011
SC,TENT               ,8340015331675,2,11724.28," $23,448.56 ",28/10/2011
CA,TENT               ,8340014563628,4, 5638.45 ," $22,553.80 ",15/03/2012
NJ,TENT               ,8340011852613,3, 7157.93 ," $21,473.79 ",22/02/2012
TX,TENT               ,8340015331687,1, 21093.59 ," $21,093.59 ",14/03/2012
AZ,TENT               ,8340014598167,8, 2597.67 ," $20,781.36 ",20/04/2012
GA,TENT               ,8340014753077,1, 20571.08 ," $20,571.08 ",07/02/2012
AL,TENT               ,8340015381823,1, 19617.98 ," $19,617.98 ",17/03/2012
WI,TENT               ,8340004702342,5, 3831.18 ," $19,155.90 ",16/02/2012
GA,TENT               ,8340015331682,3,5866.86," $17,600.58 ",23/12/2011
AL,TENT               ,8340015455888,2, 8798.40 ," $17,596.80 ",30/01/2012
GA,TENT               ,8340015455888,2, 8798.40 ," $17,596.80 ",12/06/2012
AL,TENT               ,8340015284188,2,8782.84," $17,565.68 ",14/12/2011
CA,TENT               ,8340014626736,1, 16309.03 ," $16,309.03 ",16/05/2012
GA,TENT               ,8340014626736,1, 16309.03 ," $16,309.03 ",19/03/2012
MI,TENT               ,8340015164014,1, 15710.27 ," $15,710.27 ",19/05/2012
WI,TENT               ,8340004702342,4, 3831.18 ," $15,324.72 ",06/07/2012
CA,TENT               ,8340015455884,1,14742.00," $14,742.00 ",21/12/2011
TX,TENT               ,8340015455884,1, 14742.00 ," $14,742.00 ",26/06/2012
TN,TENT               ,8340015331668,1, 14093.97 ," $14,093.97 ",03/05/2012
SC,TENT               ,8340013953986,1, 13744.17 ," $13,744.17 ",15/06/2012
TN,TENT               ,8340014752973,1, 13613.70 ," $13,613.70 ",02/03/2012
NY,TENT               ,8340009516419,1, 13539.59 ," $13,539.59 ",09/02/2012
OH,TENT               ,8340009516419,1,13539.59," $13,539.59 ",08/11/2011
OH,TENT               ,8340009516419,1, 13539.59 ," $13,539.59 ",23/06/2012
CA,TENT               ,8340015331672,1,13131.60," $13,131.60 ",07/12/2011
CA,TENT               ,8340015331672,1,12683.96," $12,683.96 ",11/10/2011
TX,TENT               ,8340007823425,10,1265.25," $12,652.50 ",05/10/2011
AL,TENT               ,8340014398416,1, 12103.58 ," $12,103.58 ",29/03/2012
AL,TENT               ,8340014398416,1, 12103.58 ," $12,103.58 ",30/03/2012
IL,TENT               ,8340014398416,1, 12103.58 ," $12,103.58 ",20/03/2012
AL,TENT               ,8340004702342,3, 3831.18 ," $11,493.54 ",16/02/2012
CO,TENT               ,8340014563628,2, 5638.45 ," $11,276.90 ",09/05/2012
FL,TENT               ,8340014563628,2,5638.45," $11,276.90 ",21/12/2011
KY,TENT               ,8340014563628,2, 5638.45 ," $11,276.90 ",25/04/2012
TN,TENT               ,8340014563628,2, 5638.45 ," $11,276.90 ",03/05/2012
TX,TENT               ,8340014563628,2, 5638.45 ," $11,276.90 ",30/01/2012
TX,TENT               ,8340014563628,2, 5638.45 ," $11,276.90 ",11/07/2012
UT,TENT               ,8340014563628,2, 5638.45 ," $11,276.90 ",26/04/2012
CA,TENT               ,8340014911515,2,5436.71," $10,873.42 ",09/11/2011
CA,TENT               ,8340013953976,1, 10118.75 ," $10,118.75 ",01/08/2012
OH,TENT               ,8340013590084,5, 1985.49 ," $9,927.45 ",14/08/2012
MO,TENT               ,8340015331675,1, 9715.48 ," $9,715.48 ",18/01/2012
IL,TENT               ,8340014398421,1,9636.90," $9,636.90 ",28/12/2011
TX,TENT               ,8340014398421,1, 9636.90 ," $9,636.90 ",20/06/2012
TN,TENT               ,8340015331671,1, 9093.53 ," $9,093.53 ",13/07/2012
TN,TENT               ,8340015455888,1, 8798.40 ," $8,798.40 ",11/01/2012
TN,TENT               ,8340014563674,1, 7790.29 ," $7,790.29 ",02/08/2012
GA,TENT               ,8340004702342,2, 3831.18 ," $7,662.36 ",11/09/2012
MI,TENT               ,8340004702342,2, 3831.18 ," $7,662.36 ",16/02/2012
WI,TENT               ,8340004702342,2, 3831.18 ," $7,662.36 ",18/12/2012
AL,TENT               ,8340014563633,2, 3809.22 ," $7,618.44 ",06/08/2012
TX,TENT               ,8340004702335,4,1808.26," $7,233.04 ",15/12/2011
AL,TENT               ,8340012129471,1, 7224.07 ," $7,224.07 ",14/02/2012
AL,TENT               ,8340011852613,1, 7157.93 ," $7,157.93 ",16/02/2012
IL,TENT               ,8340011852613,1, 7157.93 ," $7,157.93 ",10/07/2012
AL,TENT               ,8340004702341,3, 2300.22 ," $6,900.66 ",23/05/2012
AL,TENT               ,8340011852613,1,6842.46," $6,842.46 ",19/10/2011
GA,TENT               ,8340011852613,1,6842.46," $6,842.46 ",31/10/2011
TX,TENT               ,8340007823425,5, 1323.59 ," $6,617.95 ",18/05/2012
CO,TENT               ,8340013590084,3, 1985.49 ," $5,956.47 ",02/04/2012
CA,TENT               ,8340014069299,4, 1473.03 ," $5,892.12 ",13/06/2012
TN,TENT               ,8340015331682,1, 5866.86 ," $5,866.86 ",31/01/2012
NM,TENT               ,8340014911515,1, 5777.39 ," $5,777.39 ",22/06/2012
AL,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",09/04/2012
AL,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",03/05/2012
AR,TENT               ,8340014563628,1,5638.45," $5,638.45 ",03/11/2011
CA,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",04/05/2012
GA,TENT               ,8340014563628,1,5638.45," $5,638.45 ",01/12/2011
GA,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",13/01/2012
IN,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",31/05/2012
IN,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",10/07/2012
KY,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",29/03/2012
KY,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",15/05/2012
MO,TENT               ,8340014563628,1,5638.45," $5,638.45 ",03/11/2011
OR,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",02/08/2012
TN,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",01/06/2012
WA,TENT               ,8340014563628,1, 5638.45 ," $5,638.45 ",23/07/2012
OH,TENT               ,8340007823425,4,1323.59," $5,294.36 ",15/11/2011
TN,TENT               ,8340007823425,4, 1323.59 ," $5,294.36 ",05/04/2012
TN,TENT               ,8340004823963,2, 2513.14 ," $5,026.28 ",13/07/2012
AL,TENT               ,8340001347512,2, 2407.00 ," $4,814.00 ",30/05/2012
IL,TENT               ,8340001347512,2, 2407.00 ," $4,814.00 ",25/05/2012
AL,TENT               ,8340004702341,2, 2300.22 ," $4,600.44 ",30/03/2012
AL,TENT               ,8340004702341,2, 2300.22 ," $4,600.44 ",10/05/2012
CA,TENT               ,8340014069299,3, 1473.03 ," $4,419.09 ",05/06/2012
TX,TENT               ,8340014707512,1, 4327.63 ," $4,327.63 ",04/04/2012
CO,TENT               ,8340013591481,2, 1985.49 ," $3,970.98 ",30/01/2012
CO,TENT               ,8340013591481,2, 1985.49 ," $3,970.98 ",23/03/2012
GA,TENT               ,8340013590084,2, 1985.49 ," $3,970.98 ",14/01/2012
OH,TENT               ,8340013590084,2, 1985.49 ," $3,970.98 ",29/03/2012
MI,TENT               ,8340014911507,1, 3890.59 ," $3,890.59 ",24/02/2012
GA,TENT               ,8340004702342,1, 3831.18 ," $3,831.18 ",08/03/2012
WI,TENT               ,8340004702342,1, 3831.18 ," $3,831.18 ",05/07/2012
WI,TENT               ,8340004702342,1, 3831.18 ," $3,831.18 ",10/09/2012
WI,TENT               ,8340004702342,1, 3831.18 ," $3,831.18 ",25/10/2012
WI,TENT               ,8340004702342,1, 3831.18 ," $3,831.18 ",05/02/2013
AL,TENT               ,8340014563633,1, 3809.22 ," $3,809.22 ",19/07/2012
AL,TENT               ,8340014563633,1, 3809.22 ," $3,809.22 ",26/07/2012
CA,TENT               ,8340014563633,1, 3809.22 ," $3,809.22 ",22/05/2012
TX,TENT               ,8340014563633,1, 3809.22 ," $3,809.22 ",22/03/2012
GA,TENT               ,8340007823425,3,1265.25," $3,795.75 ",05/10/2011
OR,TENT               ,8340013232454,1, 3762.74 ," $3,762.74 ",01/08/2012
CO,TENT               ,8340004702335,2,1808.26," $3,616.52 ",22/11/2011
GA,TENT               ,8340004702335,2, 1808.26 ," $3,616.52 ",04/05/2012
TX,TENT               ,8340004702335,2,1808.26," $3,616.52 ",07/12/2011
IN,TENT               ,8340013830867,2, 1719.90 ," $3,439.80 ",20/06/2012
KY,TENT               ,8340015058656,1, 3221.01 ," $3,221.01 ",29/02/2012
ME,TENT               ,8340014069299,2, 1473.03 ," $2,946.06 ",22/02/2012
OK,TENT               ,8340014069299,2, 1473.03 ," $2,946.06 ",14/06/2012
UT,TENT               ,8340014069299,2, 1473.03 ," $2,946.06 ",27/01/2012
AL,TENT               ,8340007823425,2, 1323.59 ," $2,647.18 ",08/06/2012
OH,TENT               ,8340007823425,2, 1323.59 ," $2,647.18 ",04/01/2012
TX,TENT               ,8340007823425,2, 1323.59 ," $2,647.18 ",26/04/2012
AZ,TENT               ,8340014598167,1, 2597.67 ," $2,597.67 ",03/07/2012
AL,TENT               ,8340007823425,2,1265.25," $2,530.50 ",05/10/2011
CA,TENT               ,8340007823425,2,1265.25," $2,530.50 ",05/10/2011
WV,TENT               ,8340007823425,2,1265.25," $2,530.50 ",11/10/2011
AL,TENT               ,8340004823963,1, 2513.14 ," $2,513.14 ",01/06/2012
IN,TENT               ,8340004823963,1, 2513.14 ," $2,513.14 ",10/02/2012
